RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WAR,next-page,next-page-href,next-next-page,next-next-page-href
"39","Luol Deng, SF","MIA","72","33.6","3.70","-0.33","3.37","8.41","","","",""
"103","Thaddeus Young, SF","MIN/BKN","76","32.0","0.05","1.15","1.20","5.38","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/3/sort/RPM"
"93","Elijah Millsap, SG","UTAH","47","19.7","-1.99","3.42","1.43","2.10","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/3/sort/RPM"
"1","Stephen Curry, PG","GS","80","32.7","7.43","1.91","9.34","20.07","","","",""
"431","DeJuan Blair, C","WSH","29","6.2","-2.96","-1.30","-4.26","-0.21","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"123","Dirk Nowitzki, PF","DAL","77","29.6","2.51","-1.89","0.62","4.22","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/4/sort/RPM"
"335","Kris Humphries, PF","WSH","64","21.0","-2.46","-0.24","-2.70","-0.28","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"333","Quincy Acy, SF","NY","68","18.9","-3.85","1.17","-2.68","-0.26","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"325","Tobias Harris, SF","ORL","68","34.8","-0.32","-2.21","-2.53","-0.26","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"214","Kemba Walker, PG","CHA","62","34.2","0.97","-2.00","-1.03","1.69","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"404","T.J. Warren, SF","PHX","40","15.4","-2.51","-1.22","-3.73","-0.54","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"359","Jerryd Bayless, PG","MIL","77","22.3","-2.36","-0.53","-2.89","-0.57","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"435","Danny Granger, SF","MIA","30","20.4","-2.15","-2.19","-4.34","-0.72","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"342","Rasual Butler, SF","WSH","75","20.1","-0.98","-1.77","-2.75","-0.37","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"179","Nazr Mohammed, C","CHI","23","5.6","-0.89","0.34","-0.55","0.14","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"219","Ersan Ilyasova, PF","MIL","58","22.7","1.34","-2.45","-1.11","1.02","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"220","Shayne Whittington, PF","IND","20","5.4","-0.32","-0.79","-1.11","0.08","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"70","Mike Conley, PG","MEM","70","31.8","2.36","-0.25","2.11","5.99","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"384","Kostas Papanikolaou, SF","HOU","43","18.5","-2.72","-0.61","-3.33","-0.49","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"391","Luke Babbitt, SF","NO","63","13.2","-1.66","-1.85","-3.51","-0.59","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"52","Kevin Love, PF","CLE","75","33.8","1.75","0.96","2.71","7.92","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
