TEAM,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF
"New Orleans","102.7","16.9","12.8","18.5","79.2","46.9","50.1","53.4","100.9","110.0"
"Denver","99.3","16.7","14.3","26.2","74.4","50.2","48.4","52.4","100.5","103.7"
"Portland","99.4","15.9","13.9","23.4","76.7","50.0","52.4","54.8","104.1","104.6"
"Oklahoma City","102.1","16.8","14.9","31.2","77.8","55.7","53.7","57.6","110.6","101.1"
"LA Clippers","101.1","16.7","12.0","19.0","73.9","47.6","50.9","55.3","105.4","101.7"
"Chicago","101.1","15.8","13.4","18.9","73.5","47.8","48.6","52.1","97.8","96.1"
"Indiana","98.1","15.8","14.7","23.9","73.5","48.3","47.5","51.5","97.4","97.0"
"Detroit","98.1","12.7","13.7","30.5","79.8","53.3","46.7","49.6","98.5","97.7"
"Charlotte","97.8","16.2","11.5","19.2","82.4","49.2","49.9","53.8","103.8","101.5"
"Milwaukee","95.1","18.0","14.9","24.7","66.8","46.4","49.2","54.2","101.8","105.9"
"Houston","100.8","15.7","13.9","24.4","72.3","47.9","48.0","52.2","99.8","106.5"
"Boston","103.0","16.4","14.5","25.6","72.8","48.2","46.2","51.4","98.2","95.3"
"Utah","94.7","14.8","12.6","27.4","75.9","51.4","47.8","51.8","101.8","94.6"
"Golden State","103.5","20.1","13.7","26.4","76.1","52.4","53.8","57.3","109.8","92.0"
"New York","99.4","15.3","12.7","28.8","75.1","51.6","46.5","51.3","101.5","101.1"
"Miami","95.5","15.9","13.3","22.0","78.8","51.1","49.9","53.9","102.5","93.7"
"Washington","104.5","16.1","15.7","21.7","74.4","47.3","48.5","53.3","98.2","105.3"
"Phoenix","103.5","13.7","14.7","23.6","80.6","51.3","47.7","51.3","96.7","100.9"
"Philadelphia","98.6","16.0","15.8","23.4","73.7","47.6","47.0","50.4","94.2","108.0"
"Toronto","98.6","14.6","13.6","28.8","77.9","54.0","47.0","53.2","103.3","99.5"
"San Antonio","98.7","19.3","14.7","22.2","79.5","53.8","53.6","56.5","104.7","94.3"
"Orlando","99.1","16.4","13.7","26.0","73.6","50.1","47.6","51.0","98.4","99.0"
"Atlanta","99.8","19.9","13.7","19.6","73.5","47.5","52.5","56.2","104.9","100.0"
"Dallas","100.1","16.7","11.4","19.5","79.7","49.7","48.7","53.1","102.6","102.9"
"Sacramento","103.5","16.7","14.8","26.0","76.0","50.1","49.2","52.2","99.1","105.0"
"LA Lakers","101.1","14.7","12.8","19.3","71.9","45.9","47.1","52.4","99.0","108.8"
"Brooklyn","96.7","16.0","14.0","27.7","78.5","51.7","45.7","49.2","95.7","105.4"
"Minnesota","101.3","16.9","14.5","21.3","79.8","51.7","47.3","53.1","98.7","96.0"
"Memphis","96.5","15.9","13.1","23.2","76.6","48.2","42.8","48.4","93.4","104.5"
"Cleveland","97.3","19.2","13.1","25.6","79.4","53.4","51.9","55.1","106.3","98.8"
