TEAM,OPP,STATUS ET,PASS C/A,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,TAR,AVG PTS
"Cowboys vs. D/ST","@TB","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","8.1"
"Giants vs. D/ST","NE","Sun 4:25","0/0","0","0","0","0","0","0","0","0","0","0","3.6"
"Saints vs. D/ST","@Wsh","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","3.8"
"Texans vs. D/ST","@Cin","Mon 8:30","0/0","0","0","0","0","0","0","0","0","0","0","6.0"
"Packers vs. D/ST","Det","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","3.3"
"Titans vs. D/ST","Car","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","11.0"
"Patriots vs. D/ST","@NYG","Sun 4:25","0/0","0","0","0","0","0","0","0","0","0","0","-0.8"
"Redskins vs. D/ST","NO","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","7.8"
"Cardinals vs. D/ST","@Sea","Sun 8:30","0/0","0","0","0","0","0","0","0","0","0","0","0.9"
"Jets vs. D/ST","Buf","Thu 8:25","0/0","0","0","0","0","0","0","0","0","0","0","4.6"
"Bears vs. D/ST","@StL","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","8.6"
"Browns vs. D/ST","@Pit","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","9.0"
"Jaguars vs. D/ST","@Bal","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","10.0"
"49ers vs. D/ST","** BYE **","","0","0","0","","0","0","0","0","0","0","",""
"Bills vs. D/ST","@NYJ","Thu 8:25","0/0","0","0","0","0","0","0","0","0","0","0","6.1"
"Dolphins vs. D/ST","@Phi","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","6.5"
"Vikings vs. D/ST","@Oak","Sun 4:05","0/0","0","0","0","0","0","0","0","0","0","0","5.8"
"Panthers vs. D/ST","@Ten","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","4.3"
"Buccaneers vs. D/ST","Dal","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","6.8"
"Chargers vs. D/ST","** BYE **","","0","0","0","","0","0","0","0","0","0","",""
"Lions vs. D/ST","@GB","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","8.5"
"Eagles vs. D/ST","Mia","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","5.1"
"Ravens vs. D/ST","Jax","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","4.4"
"Rams vs. D/ST","Chi","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","8.1"
"Raiders vs. D/ST","Min","Sun 4:05","0/0","0","0","0","0","0","0","0","0","0","0","3.4"
"Colts vs. D/ST","** BYE **","","0","0","0","","0","0","0","0","0","0","",""
"Chiefs vs. D/ST","@Den","Sun 4:25","0/0","0","0","0","0","0","0","0","0","0","0","6.1"
"Falcons vs. D/ST","** BYE **","","0","0","0","","0","0","0","0","0","0","",""
"Broncos vs. D/ST","KC","Sun 4:25","0/0","0","0","0","0","0","0","0","0","0","0","6.8"
"Seahawks vs. D/ST","Ari","Sun 8:30","0/0","0","0","0","0","0","0","0","0","0","0","8.5"
"Bengals vs. D/ST","Hou","Mon 8:30","0/0","0","0","0","0","0","0","0","0","0","0","3.3"
"Steelers vs. D/ST","Cle","Sun 1:00","0/0","0","0","0","0","0","0","0","0","0","0","3.7"
