TEAM,OPP,STATUS ET,PASS C/A,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,TAR,AVG PTS
"Chargers vs. QB","** BYE **","","2348","0","0","","49","0","0","0","0","0","",""
"Jaguars vs. QB","@Bal","Sun 1:00","193/295","0","0","3","45","0","0","0","0","0","0","17.9"
"Seahawks vs. QB","Ari","Sun 8:30","152/241","0","0","3","31","0","0","0","0","0","0","13.3"
"Ravens vs. QB","Jax","Sun 1:00","193/288","0","0","3","26","0","0","0","0","0","0","21.5"
"Vikings vs. QB","@Oak","Sun 4:05","172/275","0","0","4","19","0","0","0","0","0","0","13.9"
"Saints vs. QB","@Wsh","Sun 1:00","212/323","0","0","4","28","0","0","0","0","0","0","23.7"
"Redskins vs. QB","NO","Sun 1:00","167/262","0","0","4","15","0","0","0","0","0","0","16.3"
"Bills vs. QB","@NYJ","Thu 8:25","193/322","9","0","8","26","9","0","1","9","0","1","16.4"
"Patriots vs. QB","@NYG","Sun 4:25","194/313","0","0","9","22","0","0","0","0","0","0","16.0"
"Cowboys vs. QB","@TB","Sun 1:00","177/267","0","0","3","20","0","0","0","0","0","0","14.5"
"Titans vs. QB","Car","Sun 1:00","147/236","4","0","9","31","4","0","1","4","0","1","17.1"
"Giants vs. QB","NE","Sun 4:25","246/368","0","0","13","21","0","0","0","0","0","0","18.2"
"Broncos vs. QB","KC","Sun 4:25","173/279","-6","0","9","19","-6","0","1","-6","0","1","9.3"
"Eagles vs. QB","Mia","Sun 1:00","203/315","0","0","12","22","0","0","0","0","0","0","15.0"
"Dolphins vs. QB","@Phi","Sun 1:00","162/262","0","0","6","29","0","0","0","0","0","0","16.9"
"Colts vs. QB","** BYE **","","2587","0","0","","129","0","0","0","0","0","",""
"Rams vs. QB","Chi","Sun 1:00","193/279","0","0","6","34","0","0","0","0","0","0","11.5"
"Packers vs. QB","Det","Sun 1:00","164/285","0","0","10","41","0","0","0","0","0","0","16.8"
"Cardinals vs. QB","@Sea","Sun 8:30","176/293","0","0","13","27","0","0","0","0","0","0","13.9"
"Texans vs. QB","@Cin","Mon 8:30","165/266","0","0","6","32","0","0","0","0","0","0","17.6"
"Bengals vs. QB","Hou","Mon 8:30","200/307","0","0","8","20","0","0","0","0","0","0","14.3"
"Jets vs. QB","Buf","Thu 8:25","178/314","0","0","10","27","0","0","0","0","0","0","15.1"
"Steelers vs. QB","Cle","Sun 1:00","229/346","0","0","8","29","0","0","0","0","0","0","16.8"
"Bears vs. QB","@StL","Sun 1:00","161/254","0","0","4","28","0","0","0","0","0","0","17.6"
"Panthers vs. QB","@Ten","Sun 1:00","198/350","0","0","13","30","0","0","0","0","0","0","14.8"
"Raiders vs. QB","Min","Sun 4:05","232/361","0","0","9","10","0","0","0","0","0","0","18.9"
"Falcons vs. QB","** BYE **","","2322","0","0","","82","0","0","0","0","0","",""
"Buccaneers vs. QB","Dal","Sun 1:00","191/273","0","0","6","27","0","0","0","0","0","0","18.8"
"Chiefs vs. QB","@Den","Sun 4:25","175/294","0","0","8","15","0","0","0","0","0","0","16.1"
"Browns vs. QB","@Pit","Sun 1:00","183/302","0","0","5","22","0","0","0","0","0","0","18.0"
"49ers vs. QB","** BYE **","","2648","0","0","","73","0","0","0","0","0","",""
"Lions vs. QB","@GB","Sun 1:00","183/250","12","0","4","33","12","0","1","12","0","1","19.1"
