PLAYER,OPP,STATUS ET,PASS C/A,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,TAR,FP AVG
"Steelers vs. RB","Cle","Sun 1:00","0/0","388","0","0","193","388","0","44","388","0","59","11.4"
"Dolphins vs. RB","@Phi","Sun 1:00","0/0","244","3","0","213","244","3","26","244","3","42","21.0"
"Bengals vs. RB","Hou","Mon 8:30","0/0","456","3","0","147","456","3","54","456","3","67","16.3"
"Vikings vs. RB","@Oak","Sun 4:05","0/0","280","0","0","174","280","0","32","280","0","43","13.1"
"Falcons vs. RB","** BYE **","","0","1","80","","691","1","80","535","1","80","",""
"Giants vs. RB","NE","Sun 4:25","0/0","444","3","0","217","444","3","55","444","3","77","18.0"
"Cardinals vs. RB","@Sea","Sun 8:30","0/0","420","2","0","156","420","2","49","420","2","62","13.0"
"Chiefs vs. RB","@Den","Sun 4:25","0/0","221","1","0","180","221","1","29","221","1","40","13.9"
"Patriots vs. RB","@NYG","Sun 4:25","0/0","333","1","0","151","333","1","45","333","1","57","12.0"
"Packers vs. RB","Det","Sun 1:00","0/0","248","1","0","177","248","1","34","248","1","50","16.5"
"Cowboys vs. RB","@TB","Sun 1:00","0/0","499","2","0","191","499","2","52","499","2","67","22.3"
"Bills vs. RB","@NYJ","Thu 8:25","0/0","416","2","0","147","416","2","33","416","2","44","17.3"
"Ravens vs. RB","Jax","Sun 1:00","0/0","411","1","0","185","411","1","46","411","1","57","14.6"
"Chargers vs. RB","** BYE **","","0","3","60","","1041","3","60","520","3","60","",""
"Panthers vs. RB","@Ten","Sun 1:00","0/0","440","2","0","178","440","2","56","440","2","80","17.8"
"Colts vs. RB","** BYE **","","0","1","56","","852","1","56","331","1","56","",""
"49ers vs. RB","** BYE **","","0","2","68","","898","2","68","454","2","68","",""
"Redskins vs. RB","NO","Sun 1:00","0/0","325","1","0","199","325","1","39","325","1","56","17.0"
"Titans vs. RB","Car","Sun 1:00","0/0","188","0","0","185","188","0","27","188","0","39","12.4"
"Browns vs. RB","@Pit","Sun 1:00","0/0","435","1","0","246","435","1","38","435","1","53","20.0"
"Jets vs. RB","Buf","Thu 8:25","0/0","293","2","0","141","293","2","35","293","2","49","10.6"
"Eagles vs. RB","Mia","Sun 1:00","0/0","222","1","0","199","222","1","35","222","1","51","12.4"
"Seahawks vs. RB","Ari","Sun 8:30","0/1","271","0","0","170","271","0","36","271","0","54","10.5"
"Bears vs. RB","@StL","Sun 1:00","0/0","317","3","0","179","317","3","37","317","3","56","16.3"
"Texans vs. RB","@Cin","Mon 8:30","0/0","348","3","0","189","348","3","35","348","3","44","19.1"
"Saints vs. RB","@Wsh","Sun 1:00","0/0","455","3","0","198","455","3","52","455","3","68","18.2"
"Rams vs. RB","Chi","Sun 1:00","0/0","415","1","0","184","415","1","47","415","1","64","15.3"
"Buccaneers vs. RB","Dal","Sun 1:00","0/0","233","3","0","204","233","3","36","233","3","45","14.9"
"Jaguars vs. RB","@Bal","Sun 1:00","0/0","439","3","0","187","439","3","50","439","3","60","19.1"
"Raiders vs. RB","Min","Sun 4:05","0/0","423","2","0","177","423","2","54","423","2","65","17.5"
"Broncos vs. RB","KC","Sun 4:25","0/0","303","3","0","188","303","3","53","303","3","79","15.0"
"Lions vs. RB","@GB","Sun 1:00","0/0","306","0","0","206","306","0","33","306","0","44","20.6"
