TEAM,OPP,STATUS ET,PASS C/A,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,TAR,AVG PTS
"Bears vs. TE","@StL","Sun 1:00","0/0","299","2","0","1","299","2","31","299","2","46","4.8"
"Chiefs vs. TE","@Den","Sun 4:25","0/0","238","2","0","0","238","2","24","238","2","52","3.8"
"Bengals vs. TE","Hou","Mon 8:30","0/0","532","0","0","0","532","0","54","532","0","78","5.5"
"Dolphins vs. TE","@Phi","Sun 1:00","0/0","379","3","0","0","379","3","32","379","3","55","6.5"
"Colts vs. TE","** BYE **","","0","4","75","","0","4","75","622","4","75","",""
"Patriots vs. TE","@NYG","Sun 4:25","0/0","305","3","0","0","305","3","35","305","3","63","5.1"
"Chargers vs. TE","** BYE **","","0","7","59","","0","7","59","449","7","59","",""
"Panthers vs. TE","@Ten","Sun 1:00","0/0","382","4","0","0","382","4","37","382","4","62","6.9"
"Eagles vs. TE","Mia","Sun 1:00","0/0","359","1","0","0","359","1","42","359","1","59","3.6"
"Browns vs. TE","@Pit","Sun 1:00","0/0","359","8","0","0","359","8","34","359","8","49","8.4"
"Buccaneers vs. TE","Dal","Sun 1:00","0/0","369","4","0","0","369","4","41","369","4","63","7.6"
"Packers vs. TE","Det","Sun 1:00","0/0","546","3","0","0","546","3","44","546","3","75","8.5"
"Steelers vs. TE","Cle","Sun 1:00","0/0","553","7","0","0","553","7","53","553","7","85","10.1"
"Titans vs. TE","Car","Sun 1:00","0/0","424","6","0","0","424","6","35","424","6","53","9.4"
"Texans vs. TE","@Cin","Mon 8:30","0/0","410","3","0","0","410","3","38","410","3","58","6.6"
"Jaguars vs. TE","@Bal","Sun 1:00","0/0","456","2","0","0","456","2","31","456","2","52","6.5"
"Rams vs. TE","Chi","Sun 1:00","0/0","415","1","0","0","415","1","42","415","1","57","5.4"
"Raiders vs. TE","Min","Sun 4:05","0/0","491","9","0","0","491","9","44","491","9","72","12.8"
"Redskins vs. TE","NO","Sun 1:00","0/0","383","1","0","0","383","1","35","383","1","55","5.0"
"Cardinals vs. TE","@Sea","Sun 8:30","0/0","308","1","0","0","308","1","38","308","1","61","4.1"
"49ers vs. TE","** BYE **","","0","3","59","","0","3","59","409","3","59","",""
"Jets vs. TE","Buf","Thu 8:25","0/0","381","2","0","0","381","2","38","381","2","61","5.3"
"Seahawks vs. TE","Ari","Sun 8:30","0/0","565","5","0","0","565","5","45","565","5","62","10.5"
"Saints vs. TE","@Wsh","Sun 1:00","0/0","725","7","0","0","725","7","54","725","7","72","11.8"
"Bills vs. TE","@NYJ","Thu 8:25","0/0","355","3","0","0","355","3","39","355","3","67","6.0"
"Vikings vs. TE","@Oak","Sun 4:05","0/0","474","3","0","1","474","3","39","474","3","58","7.4"
"Lions vs. TE","@GB","Sun 1:00","0/0","358","6","0","0","358","6","39","358","6","56","8.3"
"Cowboys vs. TE","@TB","Sun 1:00","0/0","371","2","0","0","371","2","38","371","2","52","5.8"
"Broncos vs. TE","KC","Sun 4:25","0/0","385","3","0","0","385","3","32","385","3","52","6.3"
"Ravens vs. TE","Jax","Sun 1:00","0/0","332","1","0","0","332","1","30","332","1","46","4.3"
"Giants vs. TE","NE","Sun 4:25","0/0","684","5","0","0","684","5","58","684","5","83","10.1"
"Falcons vs. TE","** BYE **","","0","6","79","","0","6","79","513","6","79","",""
