PLAYER,OPP,STATUS ET,PASS C/A,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,TAR,FP AVG
"Eagles vs. WR","Mia","Sun 1:00","0/0","1589","11","0","1","1589","11","125","1589","11","200","26.6"
"Chiefs vs. WR","@Den","Sun 4:25","0/0","1722","13","0","5","1722","13","122","1722","13","200","30.0"
"Cardinals vs. WR","@Sea","Sun 8:30","0/0","1134","10","0","6","1134","10","89","1134","10","165","19.8"
"Jets vs. WR","Buf","Thu 8:25","0/1","1388","10","0","3","1388","10","105","1388","10","199","24.4"
"Steelers vs. WR","Cle","Sun 1:00","0/0","1634","9","0","4","1634","9","133","1634","9","201","23.6"
"Packers vs. WR","Det","Sun 1:00","0/0","1368","6","0","4","1368","6","86","1368","6","153","20.5"
"Redskins vs. WR","NO","Sun 1:00","0/0","1314","11","0","6","1314","11","92","1314","11","148","24.3"
"Chargers vs. WR","** BYE **","","0","6","155","","16","6","155","1348","6","155","",""
"Falcons vs. WR","** BYE **","","0","3","175","","27","3","175","1226","3","175","",""
"Giants vs. WR","NE","Sun 4:25","0/0","1687","9","0","5","1687","9","132","1687","9","206","23.1"
"Cowboys vs. WR","@TB","Sun 1:00","0/0","1141","5","0","1","1141","5","87","1141","5","144","17.6"
"Dolphins vs. WR","@Phi","Sun 1:00","0/0","1430","10","0","10","1430","10","103","1430","10","163","24.1"
"Patriots vs. WR","@NYG","Sun 4:25","0/0","1493","8","0","1","1493","8","113","1493","8","190","23.5"
"Ravens vs. WR","Jax","Sun 1:00","0/0","1663","14","0","1","1663","14","117","1663","14","181","29.9"
"Rams vs. WR","Chi","Sun 1:00","0/0","1065","3","0","1","1065","3","104","1065","3","155","13.8"
"Raiders vs. WR","Min","Sun 4:05","0/0","1687","4","0","2","1687","4","134","1687","4","221","22.1"
"Bengals vs. WR","Hou","Mon 8:30","0/0","1110","7","0","1","1110","7","92","1110","7","156","17.3"
"Buccaneers vs. WR","Dal","Sun 1:00","0/0","1445","12","0","3","1445","12","113","1445","12","163","25.3"
"Seahawks vs. WR","Ari","Sun 8:30","0/0","797","1","0","8","797","1","71","797","1","119","10.9"
"Texans vs. WR","@Cin","Mon 8:30","0/0","1208","10","0","5","1208","10","92","1208","10","157","21.3"
"Vikings vs. WR","@Oak","Sun 4:05","0/0","1136","6","0","9","1136","6","101","1136","6","171","17.8"
"49ers vs. WR","** BYE **","","0","9","183","","36","9","183","1737","9","183","",""
"Bills vs. WR","@NYJ","Thu 8:25","1/1","1368","10","0","17","1368","10","121","1368","10","206","23.4"
"Panthers vs. WR","@Ten","Sun 1:00","0/0","1226","5","0","0","1226","5","102","1226","5","199","17.4"
"Bears vs. WR","@StL","Sun 1:00","0/0","1230","12","0","1","1230","12","92","1230","12","141","22.8"
"Broncos vs. WR","KC","Sun 4:25","0/0","965","1","0","3","965","1","86","965","1","144","11.6"
"Colts vs. WR","** BYE **","","0","11","204","","45","11","204","1634","11","204","",""
"Lions vs. WR","@GB","Sun 1:00","0/0","1481","8","0","3","1481","8","110","1481","8","146","22.5"
"Saints vs. WR","@Wsh","Sun 1:00","0/0","1577","14","0","9","1577","14","106","1577","14","182","24.9"
"Titans vs. WR","Car","Sun 1:00","1/1","1278","9","0","3","1278","9","85","1278","9","142","23.0"
"Jaguars vs. WR","@Bal","Sun 1:00","0/0","1351","9","0","2","1351","9","112","1351","9","179","22.0"
"Browns vs. WR","@Pit","Sun 1:00","0/0","1585","9","0","14","1585","9","111","1585","9","193","23.6"
