PLAYER,OPP,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,AVG,rb-link,rb-link-href,wr-link,wr-link-href,te-link,te-link-href,dst-link,dst-link-href
"Steelers vs. WR","Cle","0/0","1634","9","0","4","1634","9","133","1634","9","201","23.6","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Colts vs. D/ST","** BYE **","0","0","0","","0","0","0","0","0","0","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","D/ST","http://games.espn.go.com/ffl/pointsagainst?positionId=16"
"Cowboys vs. RB","@TB","0/0","499","2","0","191","499","2","52","499","2","67","22.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Rams vs. RB","Chi","0/0","415","1","0","184","415","1","47","415","1","64","15.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Vikings vs. WR","@Oak","0/0","1136","6","0","9","1136","6","101","1136","6","171","17.8","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","","","",""
"Falcons vs. TE","** BYE **","0","6","79","","0","6","79","513","6","79","","","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Bills vs. QB","@NYJ","193/322","9","0","8","26","9","0","1","9","0","1","16.4","","","","","","","",""
"Panthers vs. TE","@Ten","0/0","382","4","0","0","382","4","37","382","4","62","6.9","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
"Bears vs. RB","@StL","0/0","317","3","0","179","317","3","37","317","3","56","16.3","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","","","","","",""
"Bengals vs. TE","Hou","0/0","532","0","0","0","532","0","54","532","0","78","5.5","RB","http://games.espn.go.com/ffl/pointsagainst?positionId=2","WR","http://games.espn.go.com/ffl/pointsagainst?positionId=3","TE","http://games.espn.go.com/ffl/pointsagainst?positionId=4","",""
